Material,Material Description,Material Group,Division,EAN/UPC,Weight unit,Gross Weight,Net Weight,Material type descr.,Material Group Desc.,Material grp desc. 2,Name,PH Level 01,PH Level 01 - Desc.,PH Level 02,PH Level 02 - Desc.,PH Level 03,PH Level 03 - Desc.,PH Level 04,PH Level 04 - Desc.,PH Level 05,PH Level 05 - Desc.
MK-MEPSXF514,TIBIAL LINER PS F5-6Vitamin-E MBL 14MM,KI-DK-EMP,KI,08906067246493,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXF517,TIBIAL LINER PS F5-6Vitamin-E MBL 17MM,KI-DK-EMP,KI,08906067246509,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXF709,TIBIAL LINER PS F7-8Vitamin-E MBL 9MM,KI-DK-EMP,KI,08906067246516,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXF711,TIBIAL LINER PS F7-8Vitamin-E MBL 11MM,KI-DK-EMP,KI,08906067246523,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXF714,TIBIAL LINER PS F7-8Vitamin-E MBL 14MM,KI-DK-EMP,KI,08906067246530,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXF717,TIBIAL LINER PS F7-8Vitamin-E MBL 17MM,KI-DK-EMP,KI,08906067246547,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXG509,TIBIAL LINER PS G5-6Vitamin-E MBL 9MM,KI-DK-EMP,KI,08906067246554,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXG511,TIBIAL LINER PS G5-6Vitamin-E MBL 11MM,KI-DK-EMP,KI,08906067246561,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXG514,TIBIAL LINER PS G5-6Vitamin-E MBL 14MM,KI-DK-EMP,KI,08906067246578,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXG517,TIBIAL LINER PS G5-6Vitamin-E MBL 17MM,KI-DK-EMP,KI,08906067246585,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXG709,TIBIAL LINER PS G7-8Vitamin-E MBL 9MM,KI-DK-EMP,KI,08906067246592,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXG711,TIBIAL LINER PS G7-8Vitamin-E MBL 11MM,KI-DK-EMP,KI,08906067246608,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXG714,TIBIAL LINER PS G7-8Vitamin-E MBL 14MM,KI-DK-EMP,KI,08906067246615,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXG717,TIBIAL LINER PS G7-8Vitamin-E MBL 17MM,KI-DK-EMP,KI,08906067246622,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXH709,TIBIAL LINER PS H7-8Vitamin-E MBL 9MM,KI-DK-EMP,KI,08906067246639,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXH711,TIBIAL LINER PS H7-8Vitamin-E MBL 11MM,KI-DK-EMP,KI,08906067246646,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXH714,TIBIAL LINER PS H7-8Vitamin-E MBL 14MM,KI-DK-EMP,KI,08906067246653,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MEPSXH717,TIBIAL LINER PS H7-8Vitamin-E MBL 17MM,KI-DK-EMP,KI,08906067246660,KG,0.000,0.000,FG Material-Knee,Tbial Lnr E-CiM PSMB,Tibial Liner E-CiMa,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLCRXA109,"TIBIAL LINER CR A1-2 METALBACKED, 9mm",KI-DK-MBC,KI,08906067241283,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXA111,"TIBIAL LINER CR A1-2 METALBACKED, 11mm",KI-DK-MBC,KI,08906067241290,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXA114,"TIBIAL LINER CR A1-2 METALBACKED, 14mm",KI-DK-MBC,KI,08906067241306,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXA117,"TIBIAL LINER CR A1-2 METALBACKED, 17mm",KI-DK-MBC,KI,08906067241313,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXB109,"TIBIAL LINER CR B1-2 METALBACKED, 9mm",KI-DK-MBC,KI,08906067241320,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXB111,"TIBIAL LINER CR B1-2 METALBACKED, 11mm",KI-DK-MBC,KI,08906067241337,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXB114,"TIBIAL LINER CR B1-2 METALBACKED, 14mm",KI-DK-MBC,KI,08906067241344,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXB117,"TIBIAL LINER CR B1-2 METALBACKED, 17mm",KI-DK-MBC,KI,08906067241351,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXC109,"TIBIAL LINER CR C1-2 METALBACKED, 9mm",KI-DK-MBC,KI,08906067241368,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXC111,"TIBIAL LINER CR C1-2 METALBACKED, 11mm",KI-DK-MBC,KI,08906067241375,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXC114,"TIBIAL LINER CR C1-2 METALBACKED, 14mm",KI-DK-MBC,KI,08906067241382,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXC117,"TIBIAL LINER CR C1-2 METALBACKED, 17mm",KI-DK-MBC,KI,08906067241399,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXC309,"TIBIAL LINER CR C3-4 METALBACKED, 9mm",KI-DK-MBC,KI,08906067241405,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXC311,"TIBIAL LINER CR C3-4 METALBACKED, 11mm",KI-DK-MBC,KI,08906067241412,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXC314,"TIBIAL LINER CR C3-4 METALBACKED, 14mm",KI-DK-MBC,KI,08906067241429,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXC317,"TIBIAL LINER CR C3-4 METALBACKED, 17mm",KI-DK-MBC,KI,08906067241436,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXD109,"TIBIAL LINER CR D1-2 METALBACKED, 9mm",KI-DK-MBC,KI,08906067241443,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXD111,"TIBIAL LINER CR D1-2 METALBACKED, 11mm",KI-DK-MBC,KI,08906067241450,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXD114,"TIBIAL LINER CR D1-2 METALBACKED, 14mm",KI-DK-MBC,KI,08906067241467,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXD117,"TIBIAL LINER CR D1-2 METALBACKED, 17mm",KI-DK-MBC,KI,08906067241474,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXD309,"TIBIAL LINER CR D3-4 METALBACKED, 9mm",KI-DK-MBC,KI,08906067241481,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXD311,"TIBIAL LINER CR D3-4 METALBACKED, 11mm",KI-DK-MBC,KI,08906067241498,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXD314,"TIBIAL LINER CR D3-4 METALBACKED, 14mm",KI-DK-MBC,KI,08906067241504,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXD317,"TIBIAL LINER CR D3-4 METALBACKED, 17mm",KI-DK-MBC,KI,08906067241511,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXE309,"TIBIAL LINER CR E3-4 METALBACKED, 9mm",KI-DK-MBC,KI,08906067241528,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXE311,"TIBIAL LINER CR E3-4 METALBACKED, 11mm",KI-DK-MBC,KI,08906067241535,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXE314,"TIBIAL LINER CR E3-4 METALBACKED, 14mm",KI-DK-MBC,KI,08906067241542,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXE317,"TIBIAL LINER CR E3-4 METALBACKED, 17mm",KI-DK-MBC,KI,08906067241559,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXE509,"TIBIAL LINER CR E5-6 METALBACKED, 9mm",KI-DK-MBC,KI,08906067241566,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXE511,"TIBIAL LINER CR E5-6 METALBACKED, 11mm",KI-DK-MBC,KI,08906067241573,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXE514,"TIBIAL LINER CR E5-6 METALBACKED, 14mm",KI-DK-MBC,KI,08906067241580,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXE517,"TIBIAL LINER CR E5-6 METALBACKED, 17mm",KI-DK-MBC,KI,08906067241597,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXF309,"TIBIAL LINER CR F3-4 METALBACKED, 9mm",KI-DK-MBC,KI,08906067242082,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXF311,"TIBIAL LINER CR F3-4 METALBACKED, 11mm",KI-DK-MBC,KI,08906067242099,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXF314,"TIBIAL LINER CR F3-4 METALBACKED, 14mm",KI-DK-MBC,KI,08906067242105,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXF317,"TIBIAL LINER CR F3-4 METALBACKED, 17mm",KI-DK-MBC,KI,08906067242112,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXF509,"TIBIAL LINER CR F5-6 METALBACKED, 9mm",KI-DK-MBC,KI,08906067241603,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXF511,"TIBIAL LINER CR F5-6 METALBACKED, 11mm",KI-DK-MBC,KI,08906067241610,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXF514,"TIBIAL LINER CR F5-6 METALBACKED, 14mm",KI-DK-MBC,KI,08906067241627,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXF517,"TIBIAL LINER CR F5-6 METALBACKED, 17mm",KI-DK-MBC,KI,08906067241634,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXF709,"TIBIAL LINER CR F7-8 METALBACKED, 9mm",KI-DK-MBC,KI,08906067241641,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXF711,"TIBIAL LINER CR F7-8 METALBACKED, 11mm",KI-DK-MBC,KI,08906067241658,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXF714,"TIBIAL LINER CR F7-8 METALBACKED, 14mm",KI-DK-MBC,KI,08906067241665,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXF717,"TIBIAL LINER CR F7-8 METALBACKED, 17mm",KI-DK-MBC,KI,08906067241672,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXG509,"TIBIAL LINER CR G5-6 METALBACKED, 9mm",KI-DK-MBC,KI,08906067241689,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXG511,"TIBIAL LINER CR G5-6 METALBACKED, 11mm",KI-DK-MBC,KI,08906067241696,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXG514,"TIBIAL LINER CR G5-6 METALBACKED, 14mm",KI-DK-MBC,KI,08906067241702,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXG517,"TIBIAL LINER CR G5-6 METALBACKED, 17mm",KI-DK-MBC,KI,08906067241719,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXG709,"TIBIAL LINER CR G7-8 METALBACKED, 9mm",KI-DK-MBC,KI,08906067241726,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXG711,"TIBIAL LINER CR G7-8 METALBACKED, 11mm",KI-DK-MBC,KI,08906067241733,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXG714,"TIBIAL LINER CR G7-8 METALBACKED, 14mm",KI-DK-MBC,KI,08906067241740,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXG717,"TIBIAL LINER CR G7-8 METALBACKED, 17mm",KI-DK-MBC,KI,08906067241757,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXH709,"TIBIAL LINER CR H7-8 METALBACKED, 9mm",KI-DK-MBC,KI,08906067241764,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXH711,"TIBIAL LINER CR H7-8 METALBACKED, 11mm",KI-DK-MBC,KI,08906067241771,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXH714,"TIBIAL LINER CR H7-8 METALBACKED, 14mm",KI-DK-MBC,KI,08906067241788,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLCRXH717,"TIBIAL LINER CR H7-8 METALBACKED, 17mm",KI-DK-MBC,KI,08906067241795,KG,0.000,0.000,FG Material-Knee,DK - Metal Liner CR,DK - Metal Liner CR,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,004,Liner CR
MK-MLPSXA109,"TIBIAL LINER PS A1-2 METALBACKED, 9mm",KI-DK-MBP,KI,08906067240767,G,16.000,16.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXA111,"TIBIAL LINER PS A1-2 METALBACKED, 11mm",KI-DK-MBP,KI,08906067240774,G,20.000,20.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXA114,"TIBIAL LINER PS A1-2 METALBACKED, 14mm",KI-DK-MBP,KI,08906067240781,G,26.000,26.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXA117,"TIBIAL LINER PS A1-2 METALBACKED, 17mm",KI-DK-MBP,KI,08906067240798,G,31.000,31.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXB109,"TIBIAL LINER PS B1-2 METALBACKED, 9mm",KI-DK-MBP,KI,08906067240804,G,16.000,16.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXB111,"TIBIAL LINER PS B1-2 METALBACKED, 11mm",KI-DK-MBP,KI,08906067240811,G,20.000,20.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXB114,"TIBIAL LINER PS B1-2 METALBACKED, 14mm",KI-DK-MBP,KI,08906067240828,G,26.000,26.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXB117,"TIBIAL LINER PS B1-2 METALBACKED, 17mm",KI-DK-MBP,KI,08906067240835,G,31.000,31.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXC109,"TIBIAL LINER PS C1-2 METALBACKED, 9mm",KI-DK-MBP,KI,08906067240842,G,16.000,16.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXC111,"TIBIAL LINER PS C1-2 METALBACKED, 11mm",KI-DK-MBP,KI,08906067240859,G,20.000,20.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXC114,"TIBIAL LINER PS C1-2 METALBACKED, 14mm",KI-DK-MBP,KI,08906067240866,G,26.000,26.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXC117,"TIBIAL LINER PS C1-2 METALBACKED, 17mm",KI-DK-MBP,KI,08906067240873,G,31.000,31.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXC309,"TIBIAL LINER PS C3-4 METALBACKED, 9mm",KI-DK-MBP,KI,08906067240880,G,19.000,19.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXC311,"TIBIAL LINER PS C3-4METALBACKED, 11mm",KI-DK-MBP,KI,08906067240897,G,24.000,24.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXC314,"TIBIAL LINER PS C3-4METALBACKED, 14mm",KI-DK-MBP,KI,08906067240903,G,31.000,31.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
MK-MLPSXC317,"TIBIAL LINER PS C3-4METALBACKED, 17mm",KI-DK-MBP,KI,08906067240910,G,37.000,37.000,FG Material-Knee,DK - Metal Liner PS,DK - Metal Liner PS,Knee Implant,KN,Knee,001,Destiknee,0001,Primary,0002,Liner - Knee,001,Liner PS
